epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.044,1.1351,3.22912,1.23569,0.05,1,0.10255,0.06445,1.2195,2.97884,1.30319,6e-05,6e-05,6e-05
2,211.19,1.0729,2.78495,1.13074,0.05,1,0.13136,0.07655,1.21955,2.92816,1.31114,0.000137228,0.000137228,0.000137228
3,308.221,1.10689,1.90781,1.10103,0.05,1,0.81693,0.51469,1.30784,2.45037,1.16708,0.000211288,0.000211288,0.000211288
4,459.669,1.09638,1.12657,1.10855,0.99462,0.88,0.98327,0.63009,1.37853,1.56879,1.0547,0.00028218,0.00028218,0.00028218
5,545.796,1.07951,0.93102,1.11137,1,0.95507,0.99415,0.64409,1.33865,1.41542,1.015,0.000349904,0.000349904,0.000349904
6,663.693,1.08786,0.84846,1.10396,1,0.95722,0.995,0.6427,1.31625,1.56035,1.01361,0.00041446,0.00041446,0.00041446
7,716.438,1.0382,0.77435,1.11943,1,0.9768,0.99487,0.64769,1.27981,1.42702,1.00452,0.000475848,0.000475848,0.000475848
8,770.02,1.10856,0.7638,1.16581,1,0.99613,0.995,0.64264,1.29777,1.13004,1.00729,0.000534068,0.000534068,0.000534068
9,819.354,1.10808,0.83827,1.13231,0.99838,1,0.995,0.64054,1.29219,0.87002,0.97899,0.00058912,0.00058912,0.00058912
10,866.853,1.09299,0.79129,1.10898,0.99856,1,0.995,0.64839,1.30006,0.77527,0.97881,0.000641004,0.000641004,0.000641004
11,930.439,1.1003,0.78513,1.10778,0.99867,1,0.995,0.62054,1.31046,0.7929,1.01149,0.00068972,0.00068972,0.00068972
12,978.065,1.04377,0.74121,1.07584,0.99889,1,0.995,0.55282,1.47986,0.81432,1.13236,0.000735268,0.000735268,0.000735268
13,1024.46,1.08584,0.75703,1.09956,0.9984,1,0.995,0.62932,1.28653,0.77188,1.06683,0.000777648,0.000777648,0.000777648
14,1072.47,1.02526,0.7281,1.10558,0.99852,1,0.995,0.64384,1.28487,0.78716,1.06914,0.00081686,0.00081686,0.00081686
15,1122.31,1.05034,0.76286,1.10876,0.99941,1,0.995,0.63685,1.25134,0.86136,1.0573,0.000852904,0.000852904,0.000852904
16,1165.57,1.00628,0.71935,1.08433,1,0.99927,0.995,0.63475,1.26853,0.99794,1.03956,0.00088578,0.00088578,0.00088578
17,1243.92,1.14891,0.82088,1.15942,0.98972,0.98667,0.99487,0.62495,1.28496,1.1402,1.0341,0.000915488,0.000915488,0.000915488
18,1299.75,1.01846,0.73403,1.06475,0.89867,0.94597,0.95356,0.62627,1.21554,1.38567,1.03552,0.000942028,0.000942028,0.000942028
19,1346.76,1.06933,0.7127,1.09136,0.96586,1,0.99447,0.65084,1.20196,1.16892,1.03979,0.0009654,0.0009654,0.0009654
20,1392.7,1.03101,0.70588,1.05661,0.99697,1,0.995,0.64655,1.21434,0.88252,1.07301,0.000985604,0.000985604,0.000985604
21,1439.71,1.04574,0.67391,1.07455,0.99927,1,0.995,0.63479,1.35285,0.70684,1.18613,0.00100264,0.00100264,0.00100264
22,1490.14,1.04555,0.69638,1.09216,0.99901,1,0.995,0.651,1.2617,0.69683,1.13499,0.00101651,0.00101651,0.00101651
23,1548.17,1.03591,0.66374,1.06795,0.99842,1,0.995,0.66266,1.26277,0.76671,1.12703,0.00102721,0.00102721,0.00102721
24,1603.99,1.01706,0.64575,1.06759,0.99672,1,0.995,0.65807,1.27859,0.90993,1.13161,0.00103474,0.00103474,0.00103474
25,1655.4,0.96417,0.6807,1.04806,1,0.99567,0.995,0.65312,1.27282,0.9653,1.12719,0.0010391,0.0010391,0.0010391
26,1698.41,1.00585,0.69139,1.06067,0.99971,1,0.995,0.65706,1.27154,0.90262,1.13125,0.00101,0.00101,0.00101
27,1739.75,0.94982,0.63622,1.03409,0.99699,1,0.995,0.66426,1.23065,0.75562,1.10975,0.0009704,0.0009704,0.0009704
28,1780.94,0.96743,0.67257,1.05333,0.99795,1,0.995,0.66936,1.20787,0.62784,1.09651,0.0009308,0.0009308,0.0009308
29,1823.58,0.9872,0.58901,1.04424,0.99898,1,0.995,0.66106,1.23476,0.58844,1.10913,0.0008912,0.0008912,0.0008912
30,1866.9,0.93231,0.61404,1.03596,0.99899,1,0.995,0.63853,1.28866,0.59749,1.13695,0.0008516,0.0008516,0.0008516
31,1912.32,1.03043,0.67263,1.06153,0.99891,1,0.995,0.64016,1.26957,0.59756,1.11956,0.000812,0.000812,0.000812
32,1959.1,0.95897,0.59699,1.02664,0.99897,1,0.995,0.66086,1.20457,0.59358,1.08252,0.0007724,0.0007724,0.0007724
33,2005.94,0.98253,0.62206,1.05646,0.9991,1,0.995,0.67494,1.19694,0.5669,1.08369,0.0007328,0.0007328,0.0007328
34,2050.19,0.96805,0.64679,1.03269,0.99906,1,0.995,0.66172,1.23544,0.55908,1.10033,0.0006932,0.0006932,0.0006932
35,2093.69,0.96734,0.65926,1.04374,0.99908,1,0.995,0.6524,1.28285,0.57513,1.11932,0.0006536,0.0006536,0.0006536
36,2137.15,0.97278,0.6143,1.05281,0.99875,1,0.995,0.66329,1.24567,0.59016,1.09395,0.000614,0.000614,0.000614
37,2187.9,0.96848,0.57902,1.05016,0.9985,1,0.995,0.67331,1.20614,0.60317,1.07252,0.0005744,0.0005744,0.0005744
38,2236.07,0.93011,0.5763,1.03425,0.9985,1,0.995,0.67886,1.18614,0.59549,1.06407,0.0005348,0.0005348,0.0005348
39,2278.34,0.93361,0.5432,1.02018,0.99875,1,0.995,0.67219,1.17581,0.57462,1.06272,0.0004952,0.0004952,0.0004952
40,2318.41,0.9871,0.63634,1.06807,0.99891,1,0.995,0.67687,1.17961,0.55461,1.07305,0.0004556,0.0004556,0.0004556
41,2362.58,0.9287,0.5635,1.02206,0.99899,1,0.995,0.67689,1.18858,0.54353,1.08058,0.000416,0.000416,0.000416
42,2402.79,0.95432,0.59244,1.03646,0.99902,1,0.995,0.67819,1.20064,0.53736,1.08934,0.0003764,0.0003764,0.0003764
43,2449.6,0.95199,0.55335,1.01103,0.99898,1,0.995,0.66152,1.22488,0.54134,1.09776,0.0003368,0.0003368,0.0003368
44,2489.44,0.89825,0.59268,1.00588,0.99896,1,0.995,0.64974,1.25555,0.55311,1.11129,0.0002972,0.0002972,0.0002972
45,2529.44,0.90283,0.55191,1.01466,0.99899,1,0.995,0.6511,1.2663,0.5625,1.11695,0.0002576,0.0002576,0.0002576
46,2570.31,0.94276,0.5748,1.01337,0.99893,1,0.995,0.64977,1.25806,0.56987,1.11128,0.000218,0.000218,0.000218
47,2609.97,0.90647,0.62243,1.02184,0.99895,1,0.995,0.64742,1.24514,0.5698,1.1048,0.0001784,0.0001784,0.0001784
48,2650.06,0.89259,0.56301,0.98947,0.99903,1,0.995,0.65177,1.23213,0.55812,1.10181,0.0001388,0.0001388,0.0001388
49,2690.86,0.88268,0.56284,0.9971,0.99903,1,0.995,0.65596,1.22775,0.54815,1.10279,9.92e-05,9.92e-05,9.92e-05
50,2735.13,0.94626,0.55133,1.00468,0.99899,1,0.995,0.66063,1.22609,0.54141,1.10224,5.96e-05,5.96e-05,5.96e-05
